Date,Time,Open,High,Low,Close,Volume
2021.06.30,08:00,15706.8,15713.0,15498.0,15509.3,57047
2021.06.30,12:00,15509.3,15589.0,15458.0,15545.3,72305
2021.06.30,16:00,15545.3,15596.0,15517.0,15540.7,52945
2021.06.30,20:00,15540.0,15577.7,15535.0,15571.8,10509
2021.07.01,00:00,15586.7,15609.0,15579.3,15595.0,1605
2021.07.01,04:00,15595.7,15604.0,15577.0,15596.0,3190
2021.07.01,08:00,15596.4,15711.0,15584.8,15671.3,52239
2021.07.01,12:00,15671.7,15682.0,15490.3,15554.0,73304
2021.07.01,16:00,15554.0,15630.3,15550.3,15594.7,49617
2021.07.01,20:00,15594.5,15637.9,15586.0,15632.7,11022
2021.07.02,00:00,15631.0,15651.0,15626.0,15650.2,1112
2021.07.02,04:00,15650.4,15651.7,15626.0,15628.7,3283
2021.07.02,08:00,15629.1,15699.0,15600.5,15628.0,54354
2021.07.02,12:00,15627.5,15709.0,15620.5,15672.3,47531
2021.07.02,16:00,15672.7,15677.0,15613.0,15665.0,43371
2021.07.02,20:00,15665.4,15670.7,15652.5,15663.5,7823
2021.07.05,00:00,15642.0,15655.0,15627.0,15645.3,1010
2021.07.05,04:00,15644.3,15655.0,15638.8,15647.0,2716
2021.07.05,08:00,15646.9,15648.0,15531.0,15594.0,47655
2021.07.05,12:00,15594.0,15673.3,15577.0,15661.0,33305
2021.07.05,16:00,15660.5,15672.0,15638.3,15654.0,15531
2021.07.05,20:00,15654.4,15663.9,15653.0,15661.5,1379
2021.07.06,00:00,15658.0,15695.0,15648.5,15691.0,943
2021.07.06,04:00,15690.9,15694.0,15658.7,15667.0,3799
2021.07.06,08:00,15667.9,15672.7,15544.0,15599.3,66994
2021.07.06,12:00,15599.3,15646.0,15569.3,15645.0,38902
2021.07.06,16:00,15644.5,15649.3,15463.3,15507.9,71469
2021.07.06,20:00,15507.5,15534.7,15507.5,15516.0,13556
2021.07.07,00:00,15495.0,15508.7,15478.0,15506.0,2334
2021.07.07,04:00,15505.9,15532.7,15501.7,15509.0,6300
2021.07.07,08:00,15508.9,15664.7,15497.5,15630.0,59250
2021.07.07,12:00,15630.0,15670.0,15611.3,15655.0,48283
2021.07.07,16:00,15654.5,15709.7,15623.0,15693.7,68390
2021.07.07,20:00,15693.5,15714.7,15676.5,15714.7,16685
2021.07.08,00:00,15708.0,15708.0,15683.7,15692.0,1250
2021.07.08,04:00,15692.4,15698.0,15650.7,15678.0,6032
2021.07.08,08:00,15677.9,15679.7,15468.0,15506.0,124027
2021.07.08,12:00,15505.5,15522.3,15322.0,15356.0,117705
2021.07.08,16:00,15355.5,15461.7,15303.0,15448.0,141928
2021.07.08,20:00,15448.4,15449.7,15385.0,15419.5,23629
2021.07.09,00:00,15424.1,15433.3,15387.7,15388.3,2813
2021.07.09,04:00,15388.3,15447.0,15358.8,15442.3,13990
2021.07.09,08:00,15442.8,15555.0,15440.0,15550.0,87625
2021.07.09,12:00,15550.0,15584.5,15514.5,15570.3,78171
2021.07.09,16:00,15570.7,15695.7,15564.5,15681.8,47674
2021.07.09,20:00,15681.9,15697.9,15672.5,15681.0,5956
2021.07.12,00:00,15674.8,15676.0,15656.3,15674.2,1459
2021.07.12,04:00,15674.4,15677.7,15646.7,15658.0,4923
2021.07.12,08:00,15658.4,15739.5,15631.0,15689.0,70241
2021.07.12,12:00,15689.0,15723.3,15633.3,15721.3,50075
2021.07.12,16:00,15721.7,15807.0,15711.0,15791.7,61748
2021.07.12,20:00,15792.1,15803.7,15787.5,15797.7,8129
2021.07.13,00:00,15804.5,15813.7,15793.8,15811.0,1023
2021.07.13,04:00,15810.3,15816.4,15789.0,15798.0,4617
2021.07.13,08:00,15797.9,15801.7,15747.3,15782.0,43523
2021.07.13,12:00,15782.0,15807.0,15753.0,15769.3,37651
2021.07.13,16:00,15769.7,15804.0,15758.3,15790.7,44491
2021.07.13,20:00,15791.1,15791.1,15762.5,15783.7,21892
2021.07.14,00:00,15777.7,15784.3,15760.0,15784.0,1444
2021.07.14,04:00,15784.4,15797.0,15753.8,15758.0,5036
2021.07.14,08:00,15757.7,15792.0,15713.3,15760.0,55291
2021.07.14,12:00,15759.5,15802.0,15753.3,15795.0,34777
2021.07.14,16:00,15795.5,15810.0,15759.5,15790.5,52214
2021.07.14,20:00,15791.4,15794.7,15768.5,15775.8,17170
2021.07.15,00:00,15753.3,15765.0,15738.0,15752.0,2052
2021.07.15,04:00,15751.9,15782.2,15741.7,15767.8,8185
2021.07.15,08:00,15767.3,15774.0,15652.5,15702.0,66748
2021.07.15,12:00,15702.0,15707.0,15592.5,15617.7,78268
2021.07.15,16:00,15618.0,15645.0,15590.3,15621.9,79432
2021.07.15,20:00,15621.0,15640.7,15588.0,15636.9,25265
2021.07.16,00:00,15607.0,15637.7,15599.0,15603.3,2760
2021.07.16,04:00,15603.3,15655.0,15591.7,15647.0,8333
2021.07.16,08:00,15647.4,15697.3,15617.0,15691.0,64098
2021.07.16,12:00,15691.5,15701.0,15596.5,15614.0,57879
2021.07.16,16:00,15614.0,15646.0,15475.0,15541.9,90998
2021.07.16,20:00,15541.5,15551.7,15480.5,15500.5,21251
2021.07.19,00:00,15477.5,15485.7,15418.7,15423.2,4013
